insert_time1 insert_time2 erase_time1 erase_time2 find_time1 find_time1 Max_depth1 Max_depth2 
1024 elements ------ ------ ----- ------ ------- ------- 
0.0005294 0.000554 0.0004008 0.0004008 0.0001528 0.0001782 23 26 
0.0005096 0.0005701 0.0004249 0.0004249 0.0001707 0.0001408 22 21 
0.0005938 0.0010706 0.0004578 0.0004578 0.00018 0.000235 22 22 
0.0004671 0.0004511 0.0004141 0.0004141 0.0001786 0.0001516 24 20 
0.0003924 0.0004373 0.0003239 0.0003239 0.0001868 0.0001931 24 21 
0.0005913 0.0003563 0.0002956 0.0002956 0.0001697 0.0001538 20 21 
0.0006221 0.0006562 0.0004284 0.0004284 0.0002491 0.0001763 25 20 
0.0005882 0.0005354 0.0004677 0.0004677 0.0002227 0.0001799 20 24 
0.0006293 0.0004468 0.0003243 0.0003243 0.0001446 0.0001331 23 21 
0.0005788 0.0005027 0.0004225 0.0004225 0.000141 0.0001253 20 20 
0.0004029 0.0003682 0.00028 0.00028 0.0001166 0.0001135 21 22 
0.0004825 0.0003945 0.0003865 0.0003865 0.0001402 0.0001435 25 22 
0.0004175 0.0004079 0.0002912 0.0002912 0.0001446 0.0001346 21 24 
0.0003482 0.0003865 0.0002897 0.0002897 0.0001919 0.0001527 19 21 
0.0004677 0.0004141 0.0002966 0.0002966 0.0001245 0.0001335 25 26 
0.0003529 0.0003943 0.0002787 0.0002787 0.0001246 0.0001259 24 22 
0.0005783 0.0005323 0.0004343 0.0004343 0.0001339 0.0001149 22 20 
0.0004145 0.0004029 0.0002841 0.0002841 0.0001287 0.0001212 24 21 
0.0003951 0.0003387 0.000377 0.000377 0.000179 0.0001746 25 23 
0.0004069 0.0003924 0.000287 0.000287 0.0001285 0.0001277 24 23 
0.0004087 0.0003335 0.0002745 0.0002745 0.0001223 0.0001441 20 22 
0.0004551 0.000413 0.0002939 0.0002939 0.00013 0.0001278 19 18 
0.0003932 0.0003333 0.0002583 0.0002583 0.0001262 0.0001304 18 22 
0.0006035 0.0005525 0.0003081 0.0003081 0.0001238 0.0001204 22 25 
0.0003679 0.0003979 0.0002877 0.0002877 0.0001264 0.0001487 26 22 
0.0003723 0.0005646 0.0002739 0.0002739 0.0001277 0.0001384 23 22 
0.0003467 0.0003927 0.0002909 0.0002909 0.0001255 0.0001574 21 23 
0.0003991 0.0004008 0.0002646 0.0002646 0.0001618 0.0001452 25 20 
0.0004888 0.0005761 0.0004682 0.0004682 0.0001324 0.000333 23 21 
0.0003931 0.0003306 0.0002786 0.0002786 0.0001281 0.0001577 26 20 
0.0004132 0.0004487 0.0003005 0.0003005 0.0001198 0.0001244 22 20 
0.0004152 0.0003619 0.0003822 0.0003822 0.0001806 0.0001142 20 20 
0.0004383 0.0004361 0.0003028 0.0003028 0.0001279 0.0001258 22 26 
0.0004295 0.0003363 0.0002749 0.0002749 0.0001317 0.0001312 22 21 
0.0003936 0.0005445 0.0002795 0.0002795 0.0001282 0.0001264 21 23 
0.0003559 0.0004093 0.00027 0.00027 0.0001108 0.0001059 22 22 
0.0003982 0.0003874 0.0002836 0.0002836 0.0001647 0.0001728 19 22 
0.0003556 0.000421 0.0004613 0.0004613 0.0001391 0.0001242 25 19 
0.00041 0.000429 0.0003024 0.0003024 0.0001217 0.0001281 21 21 
0.0003804 0.0007279 0.0002881 0.0002881 0.0001621 0.0001311 23 19 
0.000393 0.0003295 0.0002477 0.0002477 0.0001056 0.0001025 21 22 
0.0004319 0.0005547 0.0003908 0.0003908 0.0001394 0.0001271 30 21 
0.000404 0.0003482 0.0002857 0.0002857 0.0001308 0.000118 21 21 
0.000392 0.0003823 0.0002833 0.0002833 0.0001457 0.0001348 23 19 
0.0004275 0.0003422 0.0002809 0.0002809 0.0001305 0.0001214 19 21 
0.0004019 0.0003927 0.0003105 0.0003105 0.0001184 0.000117 23 20 
0.0004267 0.0003237 0.0002713 0.0002713 0.000115 0.0001043 22 22 
0.0005346 0.000569 0.00039 0.00039 0.0001544 0.0001316 24 24 
0.0005347 0.0004094 0.0003114 0.0003114 0.0001255 0.0001314 24 20 
0.0003918 0.0003919 0.0002882 0.0002882 0.0001239 0.000126 21 20 
2048 elements ------ ------ ----- ------ ------- ------- 
0.0005067 0.000612 0.0004866 0.0004866 0.0001392 0.0001279 25 29 
0.0003884 0.0003377 0.0003222 0.0003222 0.0001515 0.000131 26 23 
0.0006842 0.0004319 0.0004055 0.0004055 0.000135 0.0001414 25 26 
0.0003957 0.0003494 0.0003969 0.0003969 0.0001446 0.0001336 27 24 
0.0003697 0.0004372 0.0003982 0.0003982 0.0001366 0.0001348 24 27 
0.0003408 0.0003765 0.0003662 0.0003662 0.0001768 0.0001367 32 28 
0.0003314 0.0004024 0.0003429 0.0003429 0.0001214 0.0001173 29 27 
0.0003565 0.0004006 0.0004568 0.0004568 0.0001347 0.0001249 32 26 
0.0004449 0.0004316 0.0003658 0.0003658 0.0001359 0.0001405 23 24 
0.0004094 0.0005839 0.00038 0.00038 0.000139 0.0001354 26 30 
0.0003781 0.0004923 0.0003272 0.0003272 0.0001239 0.0001219 25 25 
0.0003891 0.000383 0.0003479 0.0003479 0.0001416 0.0001359 25 23 
0.0004 0.0004 0.0003301 0.0003301 0.0001391 0.0001342 22 23 
0.0003648 0.0003656 0.0003592 0.0003592 0.0001278 0.0001787 25 25 
0.0006076 0.0005137 0.0005279 0.0005279 0.0001916 0.0001449 23 22 
0.0004045 0.000342 0.0003695 0.0003695 0.0001867 0.0001785 23 24 
0.0003448 0.0003948 0.0003933 0.0003933 0.0001586 0.0001366 26 27 
0.000339 0.0003957 0.0003686 0.0003686 0.0001634 0.0001463 22 25 
0.0003376 0.0004366 0.0004031 0.0004031 0.0001276 0.0001666 28 23 
0.0003964 0.0006156 0.0005825 0.0005825 0.0001463 0.0001421 25 30 
0.0004692 0.0003872 0.0003497 0.0003497 0.0001134 0.0001151 24 23 
0.0004985 0.000512 0.0003665 0.0003665 0.0001734 0.0001728 26 26 
0.0003754 0.0003878 0.000344 0.000344 0.0001294 0.0001352 26 26 
0.0004259 0.0004333 0.0003725 0.0003725 0.0001441 0.0001494 24 23 
0.000415 0.0003992 0.0003439 0.0003439 0.0001385 0.0001441 22 23 
0.0004405 0.0003524 0.0004428 0.0004428 0.0001542 0.0001416 30 26 
0.0004167 0.0003398 0.0003845 0.0003845 0.0001325 0.0001404 25 24 
0.0004369 0.0003396 0.0004015 0.0004015 0.0001355 0.0001333 28 25 
0.0003428 0.0004089 0.0003569 0.0003569 0.0001269 0.0001299 22 25 
